,name,description,reasoning,step
24,Conference Norms Calibrator,"Given that the example is for CSCW and Dora's submission is for UIST, this tool compares the example rebuttal against a database of successful UIST rebuttals. It generates a short report highlighting key differences in style, such as typical response length, level of formality, and common argumentative structures favored by the UIST community, ensuring the example's lessons are adapted correctly.","Dora is using a cross-domain example, which might not perfectly align with the expectations of her target conference (UIST). This tool helps her calibrate her strategy based on the specific norms of her venue, preventing a potential mismatch in her rebuttal's style and focus.",2
25,GDoc Rebuttal Scaffolder,"An add-on for Google Docs that takes the output of the 'Review Synthesizer' and the structural model from the example document. It automatically generates a new, richly formatted Google Doc containing each synthesized review point, pre-populates comment threads for each point (@-mentioning co-authors), and inserts placeholder sections for drafting responses, turning a blank page into a collaborative project plan.","Dora's next step involves creating a document to work on the rebuttal, likely with collaborators. This tool anticipates the need for a structured, collaboration-ready document and automates its creation, merging the synthesis and planning phases.",2
26,Live Paper Linker,"A Google Docs Add-on for Dora's new synthesis document. It allows her to highlight any text in her document (e.g., a reviewer's point about 'the evaluation section') and create a smart link to her submitted PDF. Hovering over this link within the Google Doc will display a thumbnail preview of the corresponding page or section from her paper, keeping the context readily available without switching tabs.","As Dora synthesizes reviews based on the example, she will constantly need to refer back to her own paper. This tool integrates that reference material directly into her new working document, streamlining the process of connecting reviewer feedback to the source material.",2
27,Argument Flow Visualizer,"This tool ingests the example Google Doc and generates a visual flowchart of its argument structure. It maps out the logical flow, showing how the authors move from an overall summary to addressing major critiques and then minor points. This provides Dora with a high-level blueprint of a successful rebuttal's narrative arc.","Dora is looking at an example to understand its structure, but a linear document can hide the underlying logical flow. This tool extracts that flow into a visual map, giving her a strategic blueprint to follow as she begins to structure her own rebuttal argument.",2
28,Key Phrase Library,"A tool that scans the example rebuttal and other successful rebuttals from the 'Successful Rebuttal Library'. It extracts and categorizes powerful and professional phrases used for different situations (e.g., phrases for disagreeing politely, for accepting criticism gracefully, for clarifying a technical point). This library can be accessed from within her rebuttal editor, allowing her to easily insert effective, pre-vetted language.","After analyzing the example, Dora will start writing. This tool provides her with a palette of effective language, solving the 'blank page' problem and helping her adopt the appropriate tone and rhetorical style learned from the examples.",2
29,Synthesis-to-Draft Initiator,"After Dora has created her own synthesis document modeled on the example, this tool reads each synthesized point and the original reviewer comment. It then uses a generative AI to produce a concise, well-structured first-draft response for each point, framed in a professional tone. This provides a starting point for each response that Dora and her team can then refine.","The most logical step after synthesis is drafting responses. This tool directly supports that action by converting the structured synthesis into initial prose, significantly reducing the activation energy required to begin writing the rebuttal.",2
30,GDoc Review Parser & Organizer,"A Google Docs Add-on that parses the raw, pasted review text within the current document. It automatically identifies the boundaries of each review (e.g., '--- Review 1 ---', '--- Review 2 ---') and restructures the document by creating formal headings for each reviewer. It then further parses each review, identifying and separating distinct points (e.g., numbered lists, distinct paragraphs of criticism) into sub-headings or bulleted lists, transforming the raw text dump into a structured, navigable document.","The user has just copied the full, unstructured reviews into a Google Doc. Her immediate next step will be to manually read, parse, and structure this text; this tool automates that tedious and error-prone organizational process directly within her chosen environment.",3
31,Rebuttal Point Tagger,"A Google Docs Add-on that provides a sidebar for structured metadata tagging. The user can highlight any part of the review text (e.g., a sentence or paragraph) and apply predefined or custom tags like '[Major Concern]', '[Minor Suggestion]', '[Misunderstanding]', '[Question]'. The sidebar then provides a filterable dashboard view of all tagged points, allowing the user to instantly see all 'Major Concerns' grouped together, regardless of which reviewer they came from.","After organizing the reviews, the user will need to categorize and prioritize the points to address. This tool replaces manual highlighting or note-taking with a structured system that enables strategic sorting and filtering of reviewer feedback directly within the GDoc.",3
32,Actionable Promise Tracker,"A Google Docs Add-on that scans the user's drafted rebuttal text for sentences that imply future work (e.g., 'We will add...', 'We plan to revise...', 'This will be included in the final version.'). It allows the user to confirm these promises with a single click, which adds them to a persistent 'Camera-Ready Task List' in the Add-on sidebar. Each task in the list links back to the exact sentence and reviewer comment that prompted it.","As Dora writes her responses, she will make commitments for the final paper. This tool automates the creation of a to-do list from these promises as they are written, preventing them from being forgotten and ensuring a clear action plan for the next stage.",3
33,Semantic Paper Linker,"A Google Docs Add-on where the user first provides a link to their submitted PDF. Afterwards, she can highlight any reviewer comment in the Google Doc, and the tool will perform a semantic search on her PDF to find the most relevant section, paragraph, or figure. It then allows her to insert a smart chip or comment that, when hovered over, displays a preview of that specific part of her paper, eliminating the need to constantly switch windows to find context.","To understand and respond to reviews, Dora will need to constantly refer back to her original paper. This tool embeds that context directly into her rebuttal workspace, streamlining the process of connecting a reviewer's critique to the specific part of the work being critiqued.",3
34,Live Character Budgeting,"A Google Docs Add-on that provides a persistent sidebar for managing character limits. The user can define logical sections in her document (e.g., 'Intro', 'Response to R1', 'Response to R2'). The add-on displays a real-time character count for each section and for the total document. The user can set a 'budget' for each section, and a progress bar will visually indicate usage, turning red when a budget is exceeded, providing instant feedback during the writing process.","The user noted the rebuttal has length constraints. This tool integrates character count management directly into the writing environment, allowing for real-time adjustments and strategic allocation of space for each response, which is more efficient than writing and checking the count afterwards.",3
35,Interactive Theme Synthesizer,"A Google Docs Add-on that facilitates cross-reviewer synthesis. The user can highlight a key concept in one review (e.g., 'concerns about the novelty'). The tool then scans the entire document and highlights all other sentences and phrases from all reviewers that are semantically related to that concept. It then offers an option to 'Consolidate Theme', which creates a new heading in the document and copies all the highlighted quotes under it.","The user will need to identify and group similar points from different reviewers, a core part of rebuttal strategy. This tool assists this cognitive task by allowing the user to initiate a search for a theme and then automates the consolidation of related points, giving her control over the synthesis process.",3
36,Structured Comment Threads,"A Google Docs Add-on that enhances the default commenting system for collaborative rebuttals. When adding a comment to a review point, co-authors can categorize it as a '[Strategic Suggestion]', '[Wording Tweak]', or '[Question]'. The primary author can then filter comments by type and use special actions like 'Accept Tweak', which automatically applies the suggested text change to the document and resolves the comment, creating a more organized discussion.","Dora will likely collaborate with co-authors, and GDoc comments can become chaotic. This tool imposes a structure on the collaboration, separating strategic discussions from minor edits and creating a clear workflow for incorporating feedback.",3
37,Rhetorical Response Composer,"A Google Docs Add-on that provides context-aware writing assistance. After a review point has been tagged (using the 'Rebuttal Point Tagger'), the user can place her cursor to write a response. The Add-on then suggests several context-appropriate opening sentences. For a '[Misunderstanding]' tag, it might offer 'We thank the reviewer for highlighting this, and we will clarify our presentation by...' to help set a professional and effective tone.","Staring at a blank page to respond to criticism is difficult. This tool kickstarts the drafting process by providing rhetorically-sound sentence starters tailored to the specific nature of the review point, helping Dora frame her arguments effectively from the beginning.",3
38,Rebuttal Heatmap,"A Google Docs Add-on that provides a live visual overview of the rebuttal's progress directly within the document text. Based on the status of each review point (e.g., untagged, tagged but no response drafted, response drafted), the tool applies a subtle background color to the text of the review point itself (e.g., red for unaddressed, yellow for in-progress, green for complete). This creates a 'heatmap' of the document, showing at a glance which areas need the most attention.","As the rebuttal document grows, it can be hard to track progress. This tool provides an ambient, at-a-glance visualization of the rebuttal's status, helping Dora and her collaborators quickly identify what's done and what remains to be tackled.",3
39,Example-Driven Scaffolder,"A Google Docs Add-on that works in a split-pane view. On the right, it displays the 'Memes CSCW review synthesis' example document. When Dora highlights a review point in her own document on the left, the tool uses semantic analysis to find and display the most relevant section from the example document (e.g., how the example authors responded to a similar type of methodological critique). This provides targeted inspiration based on the specific problem she is tackling.","The user has already identified a key example to learn from. This tool makes the example an active part of her writing process, moving beyond simple viewing to providing contextually relevant excerpts that can guide her own argumentation and structure.",3
40,Thematic Quote Aggregator,"A Google Docs Add-on that reads the theme headings Dora has created (e.g., 'Novelty Concerns'). It then scans the 'Full Reviews' tab, identifies all sentences and paragraphs semantically related to that theme from all reviewers, and automatically copies them as a bulleted list under the corresponding heading in her 'Review Synthesis' tab. Each copied quote is linked back to its exact location in the raw review.","This tool automates Dora's immediate next action, which is to manually find and group specific reviewer comments under the themes she is creating. It saves significant time and reduces the risk of missing a relevant point.",4
41,Synthesis Heatmap Generator,"A Google Docs Add-on that analyzes the synthesized points grouped under each of Dora's themes. For each theme, it calculates a 'criticality score' based on the number of unique reviewers who mention it, the severity of the language used (e.g., 'fatal flaw' vs. 'minor suggestion'), and the associated reviewer scores. It then applies a subtle background color to Dora's theme headings (e.g., red for high-crit, yellow for medium), providing a visual guide to which issues are most important to address.","As Dora synthesizes reviews, she will need to prioritize which themes are most important. This tool provides data-driven visual cues directly in her document to help her focus on the most impactful issues first.",4
42,Intra-Theme Contradiction Flag,"After Dora has grouped points under a theme using the 'Thematic Quote Aggregator', this tool analyzes the sentiment and content of the quotes within that single theme. If it detects directly contradictory advice (e.g., Reviewer A: 'The user study is convincing', Reviewer B: 'A user study is needed'), it highlights both quotes and adds a suggested comment flagging the contradiction for the authors to address.","Dora will inevitably encounter conflicting advice. This tool helps her quickly spot these contradictions within her own thematic groupings, which is a critical step for forming a rebuttal strategy.",4
43,Response Strategy Scaffolder,"A Google Docs Add-on where Dora can tag a synthesized theme with a response category (e.g., 'Misunderstanding', 'Agree & Fix', 'Disagree'). The tool then inserts a pre-formatted, collapsible response block with structured prompts, such as '[Acknowledge Point] > [State Clarification] > [Point to Paper Evidence] > [Propose Change in Paper]'. This provides a best-practice template for structuring the argument for each response.","This tool helps Dora transition from synthesizing points to strategically planning her response. It provides a structured framework for each point, ensuring she formulates a complete and persuasive argument for different types of critiques.",4
44,Reviewer Context Hover,"A Google Docs Add-on that first parses the 'Full Reviews' tab to create a summary profile for each reviewer (e.g., 'Reviewer B, Score: 2, Main Concern: Evaluation'). Later, in the 'Review Synthesis' tab, when Dora hovers her mouse over any quote, a small pop-up appears displaying the profile of the reviewer who wrote it. This provides instant context without leaving the synthesis view.","While synthesizing, it's easy to lose track of which reviewer made a specific point and their overall stance. This tool eliminates the need for Dora to constantly switch tabs to regain context, streamlining her analysis workflow.",4
45,Review Coverage Highlighter,"A tool that links Dora's 'Full Reviews' and 'Review Synthesis' tabs. As quotes are added to the synthesis tab, the tool finds the corresponding original text in the 'Full Reviews' tab and applies a semi-transparent highlight. This allows Dora to see at a glance which parts of the original reviews have not yet been addressed in her synthesis, preventing key points from being accidentally overlooked.",This tool provides crucial quality assurance during the synthesis process. It gives Dora confidence that her synthesis is comprehensive by visually tracking coverage of the source material.,4
46,Workload Forecaster,"A Google Docs Add-on that activates when Dora writes a phrase implying future work (e.g., 'we will run another study'). It pops up a small widget allowing her to categorize the task's effort (Low, Med, High) and add an optional time estimate. A sidebar panel keeps a running tally of the total estimated workload for the camera-ready version based on all proposed changes, providing a real-time reality check on the promises being made.","As Dora strategizes responses, she will be implicitly committing to future work. This tool makes that cost explicit during the planning phase, helping the team make informed decisions about what is feasible to promise.",4
47,Collaborative Claim & Assign,"A Google Docs Add-on that enhances collaboration within the synthesis document. Co-authors can highlight a synthesized point and click a 'Claim' button in the sidebar, which adds their user icon next to the point. As the lead, Dora can 'Assign' a point to a co-author, which adds their name and sends them a notification, creating a clear and simple task-distribution system directly on the relevant text.","Once the synthesis is complete, the next step is often dividing the writing work. This tool formalizes that process within the document, providing a clearer and more organized alternative to messy comment threads.",4
48,Bi-Directional Syncing Anchor,"This Google Docs Add-on allows Dora to create a persistent, two-way link between a quote in the 'Full Reviews' tab and its summarized version in the 'Review Synthesis' tab. Clicking the anchor icon next to the text in either tab instantly jumps the view to its counterpart in the other tab. This is more robust than a standard hyperlink, as the anchors remain attached even if surrounding text is edited.","Dora is working across two related but separate views of the same information. This tool maintains the crucial link between the raw data and her summary, making navigation and verification much faster and more reliable.",4
49,Rebuttal Narrative Planner,"A tool that displays Dora's theme headings from her GDoc as movable cards in a sidebar. It allows her to drag and drop these themes into a logical sequence to plan the overall flow of her rebuttal. It also suggests common narrative structures (e.g., 'Address major flaws first', 'Group by reviewer'). Once she finalizes the order, the tool can automatically re-sequence the sections in her Google Doc to match her plan.","A good rebuttal has a persuasive narrative structure. This tool elevates Dora's thinking from individual points to the overall story, helping her structure her argument for maximum impact before she starts writing prose.",4
50,Quote Basket,"A Google Docs Add-on that provides a persistent sidebar acting as a temporary holding area or 'basket'. While reading the 'Full Reviews' tab, Dora can highlight any text and click a button to add the quote (along with its source reviewer ID) to the basket. In her 'Review Synthesis' tab, she can place her cursor under a theme and click another button to paste the entire contents of the basket, then clear it for the next theme. This streamlines the process of collecting quotes for a specific theme without constant tab switching.","This tool directly addresses Dora's current manual action of populating themes with quotes. It reduces the friction of switching between tabs and manually copying/pasting, speeding up the synthesis process while keeping her in full control of which quotes are selected.",5
51,Theme Distiller,"After Dora has grouped multiple quotes under a theme heading, she can select the entire block of quotes. This tool uses summarization AI to generate a single, concise sentence that captures the core criticism or question common to all the selected quotes. For example, it might turn three paragraphs about study participants into: 'Reviewers question the generalizability of our findings due to the limited and homogenous participant pool.'","Once quotes are grouped, the next step is to understand and articulate the central issue. This tool helps Dora move from a collection of quotes to a single, actionable problem statement, which is essential for framing a focused response.",5
52,Rebuttal Response Recipe,"An AI-powered GDoc Add-on that analyzes the specific quotes grouped under a theme to suggest a multi-step argumentative structure or 'recipe' for the response. For a theme with a misunderstanding and a valid critique, it might suggest a recipe like: '1. Acknowledge and Validate [Reviewer A's critique]. 2. Gently Correct [Reviewer B's misunderstanding] by referencing Figure 3. 3. Propose a specific, low-effort revision to address both points.' It would also provide sentence starters for each step.","Moving from synthesized points to a persuasive argument is a major challenge. This tool scaffolds the writing process by providing a logical, rhetorical structure tailored to the specific combination of feedback within each theme, helping to build a more coherent and effective argument.",5
53,Evidence Drawer,"A GDoc Add-on with a sidebar that connects to Dora's submitted PDF. It automatically extracts all figures, tables, and section headings into a browsable, filterable list with thumbnails. When drafting a response, she can click an item in the list to instantly copy a formatted reference (e.g., 'as shown in Figure 4') or drag-and-drop it into the document to embed a link that shows a preview of the evidence on hover.","Rebuttals heavily rely on pointing to evidence in the original paper. This tool predicts Dora's need to constantly reference her submission by making figures, tables, and sections instantly accessible, saving her the effort of hunting through the PDF and ensuring accurate referencing.",5
54,Intra-Theme Voice Analyzer,"After quotes are grouped under a theme, this tool analyzes the language of the quotes within that single group. It highlights the 'voices' present, such as one reviewer being positive ('the evaluation was solid') while another is negative ('the evaluation lacks rigor') on the same topic. It presents a summary like: 'Theme: Evaluation - Conflicting feedback. R1 is positive, R3 is critical. Strategy should address R3's critique without invalidating R1's praise.'","Dora is currently grouping quotes, but the next step is to strategize a response. This tool helps her immediately see the nuances and contradictions *within* a single theme, which is critical for crafting a response that skillfully navigates conflicting feedback.",5
55,Argument Dependency Mapper,"A visual GDoc sidebar tool that allows Dora to map logical dependencies between her planned responses. As she outlines her answers to each theme, she can draw a directed arrow from one theme to another, signifying that the argument in the second theme relies on a point made in the first. The tool would flag any circular dependencies (e.g., A depends on B, and B depends on A).","A rebuttal is a single, cohesive document, not a list of independent answers. This tool helps Dora plan the overall narrative structure and logical flow of her arguments, ensuring that her points build on each other effectively and do not create internal contradictions.",5
56,Personal Rebuttal Snippet Library,"A Google Docs Add-on that allows Dora to save her own best writing. When she crafts a particularly effective response to a theme (e.g., a very polite way to disagree with a major point), she can select the text and save it to a personal, searchable library with tags like '#disagreement' or '#methodology'. In future rebuttals, she can quickly search her own library for her battle-tested phrases and structures.","Writing rebuttals is a recurring task for academics. This tool helps Dora build institutional knowledge for herself, allowing her to codify and reuse her most successful rhetorical strategies, making future rebuttals faster and more effective.",5
57,Live Co-Author Cursors & Zones,"An enhancement for Google Docs collaboration. When a co-author is assigned a theme, their cursor in the document gets a persistent colored flag. Furthermore, Dora can designate a theme's section as a 'writing zone' for a specific co-author, which sends them a notification and visually delineates their area of responsibility directly in the document, reducing confusion over who is tackling which point.","As Dora moves from synthesis to writing, she will likely involve co-authors. This tool predicts this collaborative need by improving on GDoc's defaults, creating a clearer system for delegating work and tracking contributions on a per-theme basis.",5
58,Formatted Text Processor,"A Google Docs Add-on that scans the document for text matching a user-defined format (e.g., 'bolded purple font'). It then allows the user to perform actions on all matching text. Actions include: 1) Consolidate: Copy all matching text into a new document or a new section. 2) Categorize: If the text contains keywords like 'Dora:' or 'TODO:', it automatically sorts them into 'Author Notes' and 'Action Items' lists. 3) Hide/Reveal: Temporarily hide all the formatted text to create a clean view of just the reviewer quotes, and reveal it again to see the annotations.",This tool directly leverages Dora's current action of using a specific font style for her thoughts and TODOs. It helps her next action of consolidating these scattered notes into a coherent strategy document and a manageable task list without manual copying and pasting.,6
59,Tri-Pane Rebuttal Workbench,"A Google Docs Add-on that provides a three-pane view for drafting responses. When Dora clicks on a theme heading, Pane 1 (left) displays the aggregated reviewer quotes for that theme. Pane 2 (middle) displays her corresponding 'Dora: XYZ' notes that have been automatically extracted. Pane 3 (right) is a rich text editor where she can draft the formal response, using the other two panes for context. The panes are vertically scroll-locked to the selected theme.","After synthesizing quotes and jotting down notes (current action), Dora's next step is to draft the actual rebuttal. This tool prevents constant scrolling and context-switching by presenting the source quotes, her private thoughts, and the writing space together in one unified, focused interface.",6
60,Dynamic Promise Manager,"A Google Docs Add-on that specifically parses the document for text matching the 'TODO: XYZ' format. It automatically converts each found item into an interactive task in a sidebar checklist. Each task can be assigned to a co-author, given a priority level (High/Medium/Low), and marked with a status (To Do, In Progress, Done). The checklist item is bi-directionally linked to the original 'TODO' text in the document.","Dora is currently creating an informal, static list of promises ('TODO: XYZ'). Her next action will be to manage and eventually execute these tasks. This tool transforms her raw notes into a structured, collaborative, and trackable project plan directly within her working document.",6
61,Argument Refiner,"An AI-powered tool that takes Dora's informal 'Dora: XYZ' notes as input. For each note, it generates three alternative phrasings for the formal rebuttal: one that is more 'Diplomatic & Appreciative', one that is more 'Direct & Technical', and one that is 'Concise & High-Level'. Dora can then choose the best starting point for her official response, helping to bridge the gap between raw thought and polished prose.","Dora is writing down her initial thoughts, which may be raw or unpolished. Her next step is to formulate these into persuasive arguments. This tool accelerates that process by providing rhetorically-aware options that help her set the right tone for each response.",6
62,Rebuttal Compiler,"A final-stage tool for Google Docs. Dora tags sections of her document as 'Final Response', 'Reviewer Quote', or 'Internal Note'. When run, the tool generates a new, clean Google Doc containing only the sections tagged as 'Final Response', arranged in the desired order. It also provides a total character count and flags any responses that exceed a user-defined budget, preparing the rebuttal for final submission.","Dora's current document is a working space mixing quotes, notes, and drafts. Her future action will be to create a clean document for submission. This tool automates the tedious and error-prone process of manually compiling the final text, ensuring no internal notes are accidentally included.",6
